n,seccion,comentario_limpio
21651,5,Calibrar el aire acondicionado estuvo a muy baja temperatura y resulta un cambio brusco de temperatura para él. Cuerpo.
21652,2,Aguas menos azucaradas
21653,5,Gracias.
21654,1,Que sigan así con su calidad y buen servicio.
21655,2,Sus tostadas están duras.
21656,5,Muy buen servicio y excelente comida.
21657,2,Los lavaderos deberían tener sensor y no ser de contacto.
21658,1,Todo muy rápido y calientito.
21659,2,Todo bien
21660,2,"Sí, que no presionen tanto con la comida, siento que me corren."
21661,4,Felicidades
21662,2,"Todos muy bien coordinados, se nota un gran liderazgo y coordinación en la sucursal."
21663,2,Es buenísimo el servicio que te dan.
21664,2,Excelente servicio
21665,5,Faltó sabor en los platillos.
21666,2,Excelente servicio
21667,5,"Excelente servicio, muy buen personal."
21668,5,Muy buena atención y la comida está muy sabrosa. Servicio cálido. ❤️‍🩹
21669,5,"Excelente servicio de los meseros, muy buena atención y platillos muy exquisitos."
21670,5,Que el servicio es muy bueno y la comida nunca decepciona. 🫂❗
21671,2,Muy buen servicio
21672,2,Todo ok
21673,1,Han bajado demasiado la calidad de los alimentos.
21674,5,Que pongan más atención a la hora del servicio y más cuando toman la orden el mesero. 3 veces para una cerveza.
21675,5,Deberían vender salsita habanera en frascos de 100 ml para llevar en avión.
21676,5,El pozole cada vez tiene menos carne. :(
21677,5,Las salsas no tan saladas
21678,5,Muy buen servicio.
21679,1,Todo bien.
21680,5,Excelente servicio
21681,1,Good
21682,5,"Atienden muy rápido, el personal es muy amable. Muy rica la comida. La atención de Luis, muy amable. Sin pensarlo, volvería otra ocasión. 👑"
21683,5,Más actitud
21684,5,"Me gustan mucho las tostadas de picadillo, pero no me gusta que tienen mucho y comerlas es muy sucio. Se escurren por toda la mano, tal vez escurrirlas un poco funcionaría para hacer la experiencia más agradable."
21685,1,Excelente servicio y todo rico.
21686,4,Excelente
21687,1,"En ocasiones me es molesto que se acerque a cada rato a preguntar si todo está bien y ya tengo alimentos en la boca, me parece incómodo."
21688,1,Excelente servicio de José Miguel.
21689,1,Me atendió José Miguel.
21690,5,Excelente servicio
21691,1,"Todo excelente, gracias."
21692,5,"Mesero Manuel García Sánchez nos atendió con excelencia, paciencia, ética y eficacia. La calidad de su servicio merece reconocimiento. El capitán Gabriel Nava Vázquez estuvo al tanto de nuestra mesa y de nuevo excelente servicio al cliente. La comida deliciosa y la cerveza en el tarro SÚPER FRÍA es excelente. Volveremos de nuevo, muchas gracias."
21693,5,"The service was perfect, the food was delicious, and the price was very good. The server, Manuel Garcia Sanchez, was amazing and attentive."
21694,5,Holi
21695,5,"Somos extranjeros y fue nuestra primera vez en Casa de Toño. La comida estaba deliciosa, pero más importante el servicio, fue EXCELENTE. El mesero Manuel Gracia Sánchez nos ayudó y estuvo atento a todas nuestras preguntas. ¡Vamos a regresar en nuestra siguiente visita a CDMX!"
21696,5,"Buen servicio. ¡Muchas gracias, Luis!"
21697,2,Excelente servicio
21698,5,"Somos strangers y nuestro mesero Manuel García Sánchez fue muy atento, nos dio el mejor servicio y por él volveremos. Vamos a recomendar el restaurante por la buena comida y servicio."
21699,1,Agregar agua
21700,2,Na
21701,4,Gran servicio
21702,1,"Tengan alguna oferta de cumpleaños; ya sabemos que el servicio es exprés, pero sería un plus para su servicio."
21703,5,Todo super.
21704,2,Excelente servicio.
21705,1,Muy linda la chica que nos atendió ❤️
21706,1,Muy buen servicio.
21707,1,"Está muy rica la comida, gracias por regalarme grandes emociones y sabores, su pozole está muuuuuuy rico y más con limón 😋 Les agradezco por el servicio y por la comida, todo fue perfecto, el servicio fue muy bueno y mucha suerte, nunca se rindan, superen sus límites y venzan sus miedos, gracias por la comida y por el gran servicio que hubo. Posdata: Está bien rico el pozole con agua de horchata 😋😋😋😋"
21708,5,"Cada vez que vengo a CDMX no me puedo ir sin venir a degustar su deliciosa comida. Felicidades; calidad, precio y atención los hacen únicos."
21709,5,Excelente servicio
21710,5,"Muy buen personal y, sobre todo, amable."
21711,5,Si ponen los ubicados en la mesa que les pongan una servilleta de bajo.
21712,2,El servicio fue estupendo. Nos atendieron muy rápido y estuvieron al pendiente de que nuestro pedido estuviera completo y a nuestro gusto.
21713,1,A veces varía el sabor del pozole.
21714,5,Todo súper!!! Gracias ♡ Solo me gustaría que los cubiertos no los dejaran directamente sobre la mesa.
21715,5,"De hecho, nosotros pedimos más por aplicación y sí es mucho mejor venir al restaurante, pero en general, muy bien."
21716,2,Excelente servicio y atención. ¡Gracias!
21717,1,Más variedad de postres y pongan en el menú menudo.
21718,5,Es agradable comer en La Casa de Toño 😋
21719,2,Sin comentarios
21720,5,No
21721,1,Excelente atención de la capitana Anabel y de los trabajadores.
21722,5,Todo bien.
21723,2,Siempre un buen servicio 🫰🏼👌🏼
21724,2,"Muy buena atención de los chicos, la comida es pasable ya que parece ser que con el tiempo pierde calidad y nada más aumente el precio. El Capitán Pablo es muy nefasto; da incomodidad ver la manera en que se dirige al personal, ya que vamos en familia y lo último que no quiere ver son actitudes negativas."
21725,1,Buen servicio
21726,2,Estimular al personal
21727,5,Sería genial que en lugar de jugo ofrecieran fruta para un desayuno 100% sano.
21728,5,Muy bueno el servicio y todo riquísimo.
21729,5,Excelente servicio
21730,5,"Excelente servicio y atención de Beatriz, Miguel, Gabriel y Esteban. Muchas gracias n_n"
21731,2,Gracias por los alimentos.
21732,5,Todo excelente desde la llegada al restaurante.
21733,2,Excelente servicio
21734,5,"Súper el servicio y la comida deli, somos de Colombia y cuando pasemos por México de nuevo, volveremos."
21735,2,Muy bueno cada vez que vengo.
21736,2,"Muchas felicidades por su personal, en especial con Fernando Ramírez y María Ramírez. Son unas personas súper amables y atentas."
21737,1,"Bueno, serví."
21738,5,Nos llegó la comida fría y las tortillas de las enchiladas muy tiesas.
21739,1,Muy buen servicio de parte de todas las personas.
21740,2,Agregar chorizo para los molletes. Ampliar sucursal Perinorte.
21741,2,Sigan así un servicio cinco estrellas.
21742,2,Excelente servicio brindado siempre que venimos por todo su personal.
21743,5,"Si viviera en CDMX, sería Demi's restaurantes del día: rápido, bueno, bonito, limpio, pero solo visito cada vez que llego a CDMX. Ya tienen mi recomendación. Gente de otro país visita y les gustó. Ánimo, buen trabajo. Lo mejor, su pozole mixto, salsa de aguacate con tostada."
21744,4,N/A
21745,4,Todo bien
21746,5,"Solamente cuida el endulzado del capuchino, muy dulce y el jugo verde también muy dulce."
21747,1,"Aumento de salario, plan dental y seguro médico."
21748,5,"Excelente servicio, sus empleados muy bien capacitados y muy amables. Gran atención al cliente y la calidad de los alimentos es inigualable."
21749,1,Gracias por su atención.
21750,1,Excelente servicio
21751,2,Buen y excelente servicio.
21752,5,Lu
21753,5,"Que nunca cambien su limpieza, atención y preparación de alimentos y buenos precios. Gracias."
21754,2,"Consumimos unos chilaquiles y el bolillo, que estaba pasado, sin la firmeza y muy frío. Y en las tostadas, muy grasosas. El café, muy cargado."
21755,2,Excelente
21756,4,Excelente atención y servicio por parte de cada uno de Toño Lomas Verdes.
21757,2,"Excelente, el servicio y la comida son muy buenos."
21758,1,Me atendió bien Mirón.
21759,2,Excelente todo
21760,1,Me atendió bien Mirón.
21761,1,"Excelente servicio, ¡felicidades! ☺️"
21762,2,Excelente
21763,4,Excelente servicio
21764,4,"Excelente servicio, muy rápido y atentos."
21765,4,Muy buen servicio.
21766,4,"Que me bailen unas edecanes y con eso... Pero de ahí en fuera todo excelente, muchas gracias."
21767,2,"Excelente comida, felicitaciones al chef."
21768,5,Todo ok
21769,4,Ninguno
21770,1,"Leonardo Muriel, excelente servicio."
21771,2,Todo muy rico y muy buen servicio :)
21772,1,"Los meseros, muy serviciales."
21773,4,Muy buena atención y comida rica.
21774,1,Felicidades a todo el personal.
21775,1,"Tienen varios puntos que mejorar. El primero es la atención de los meseros, es muy incómodo que estés comiendo y te estén queriendo retirar tus alimentos. Y cada rato es demasiado ruidoso y es una práctica que se repite estando vacío el restaurante, aunado a que en el pago no estoy de acuerdo que tu mesera decida tomar mi tarjeta cuando yo debo ingresarla yo. Ustedes por seguridad. Esta es la segunda vez que esta sucursal me decepciona."
21776,4,Excelente atención y servicio de Diana y equipo.
21777,2,"El día de hoy sentí que los alimentos tenían menos calidad que los demás, aunque el servicio fue bueno."
21778,2,"Excelente servicio, muchas gracias."
21779,2,"Todo estuvo súper bien tanto el servicio como la comida. Solo como observación, tuvimos que pedir cambio de taza, ya que se encontraba sucia de labial por ambos lados de la taza."
21780,2,Gracias 😃
21781,4,"Ya es mejor el servicio, gracias."
21782,1,"Todo muy bien, gracias."
21783,1,Todo bien.
21784,5,Que el pan de elote sea de hoy.
21785,2,Es un excelente servicio y muy buen precio.
21786,5,Excelente todo
21787,5,Muy bien
21788,5,¡Me encantan!
21789,2,Agradezco sus atenciones.
21790,4,"Sin comentarios, muy buen servicio."
21791,1,Gracias por su servicio
21792,5,Comida deliciosa y excelente la atención.
21793,5,Muy buen servicio.
21794,2,Todo muy bien.
21795,4,Somos de Querétaro y nos encanta venir cuando tenemos la oportunidad.
21796,5,Like por Toño :)
21797,1,"Soy muy aficionado a comer con ustedes, solo si el jugo de naranja es muy malo, lo demás está perfecto."
21798,5,Todo bien :)
21799,5,Muy rico sabor.
21800,4,Todo muy bien.
21801,1,Excelente servicio
21802,4,"Vendan otra vez aguacate y no le bajen la calidad al queso rayado, ya parece plástico."
21803,4,Las tostadas estaban un poco raras.
21804,1,Ninguna
21805,2,"La verdad, todo está muy bueno y cada 5 minutos o 10 se te acercan a preguntar si todo está bien con el pedido."
21806,5,"Excelente servicio, gracias."
21807,5,"En general, desde que te reciben, todo muy bien. Yo vine de Cancún especialmente a probar la comida, y la verdad, todo muy delicioso y de buena calidad."
21808,5,Todo satisfactorio.
21809,5,El postre se sentía diferente a las veces anteriores que he venido; pareciera pastoso y no se disfrutó mucho.
21810,4,"Todo muy bien! Me encanta el flan de la abuela y el agua de tamarindo. ;) Las flautas ahora las sentí un poco grasosas, pero todo súper."
21811,5,Primera vez en visitar y muy rico está. Es mi segunda visita a la casa de Toño y muy rico todo.
21812,1,Servicio correcto. Muy rápido. O.
21813,1,Mejorar el sazon
21814,4,"Felicidades por su servicio, tiempo y preparación de alimentos."
21815,1,Mejorar el sazón.
21816,4,Todo muy bien.
21817,1,Medsi
21818,4,Súper rico
21819,5,Excelente servicio
21820,2,Excelente servicio de la señorita América.
21821,5,Incluir bebidas tipo licuados.
21822,5,"Sólo que tengan a la mano gel sanitizante, ya que todos usamos la pluma para llenar la comanda. Muchas gracias."
21823,5,Todo muy rico.
21824,2,Los tacos dorados en paquete.
21825,1,"Entiendo que necesitan ser evaluados de manera continua, pero me sentí acosado a tal grado que no me sentí a gusto disfrutando mis alimentos y el mesero estaba muy enfocado en que a fuerza contestara la encuesta, por lo cual hago este comentario."
21826,5,incre
21827,5,Increíble
21828,5,Excelente comida rápida y buen sabor.
21829,2,Todo estuvo muy rico y el servicio excelente.
21830,5,Muy amables.
21831,1,Good
21832,5,"Muy rico todo, excelente servicio."
21833,5,Vengo de otro estado y definitivamente en mi próxima visita a la CDMX vendría nuevamente.
21834,2,Sin comentarios
21835,5,Gracias.
21836,1,Bueno
21837,1,"Todo muy bien. ¡Gracias, sigan así!"
21838,5,No
21839,5,"Excelente comida, excelente precio, excelente servicio, 1000/10 ✨"
21840,5,"El servicio es excelente, el sabor de la comida es excelente, el tiempo de espera es muy rápido y las cantidades están muy bien. En general, todo está demasiado bueno."
21841,1,"Es un muy buen servicio, solo que al momento de estar comiendo yo recomendaría que no pasen tanto a ofrecer servicios extras, llega a ser molesto."
21842,5,Excelente
21843,5,"Muy buena comida, sazón excelente. Vengo desde MTY y muy rico todo."
21844,5,Buen servicio y muy buen sabor.
21845,1,No están chidos.
21846,5,Todo muy bien.
21847,5,Excelente
21848,5,Excelente servicio y personal muy atento.
21849,5,Amabilidad constante
21850,5,Que mejoren el bolillo.
21851,2,Las flautas cada vez tienen menos relleno.
21852,5,Todo ok!
21853,5,Excelente servicio
21854,5,Todo bien
21855,5,"Todo bien, gracias 🙂"
21856,1,Muy bien
21857,5,Cooool
21858,5,Todo excelente 👌
21859,5,Excelente servicio. La comida está muy rica.
21860,1,Creo que sirven menos pozole.
21861,5,Todo ok
21862,5,"Una sucursal en Ciudad Juárez, Chihuahua."
21863,1,Favor de poner una Casa de Toño en Aguascalientes 😊
21864,5,Amazing!
21865,5,Excelente
21866,5,"Hola, soy de Guadalajara y es la primera vez que vengo. Es excelente la atención, calidad y amabilidad. ¡Abrán en GDL!"
21867,2,"Hoy pico mucho el pozole, me gusta que no pique."
21868,1,Excelente
21869,1,Todo excelente.
21870,4,No todo bien.
21871,4,Todo muy bien.
21872,5,Todo bien
21873,1,"Muy buen servicio, muchas felicidades."
21874,5,"Buen servicio, pero han bajado la calidad de la comida."
21875,5,Muy buen servicio y rapidez.
21876,4,Buen precio y calidad de producto.
21877,5,Muy buena atención.
21878,5,No hay WiFi.
21879,5,El pozole me lo dieron tibio.
21880,5,Excelente
21881,1,Excelente
21882,4,"Muy buen sabor todo, excepto el flan de la abuela, pues la cajeta estuvo muy líquida. Antes era mejor."
21883,4,"Que abran los refrescos en la mesa y que no vengan abiertos, y también las servilletas."
21884,1,Está muy bien atendido.
21885,4,Hacer pozole blanco para las que no comemos chile y poner una sucursal en Zona Esmeralda.
21886,5,"Que el capitán no esté preguntando constantemente. Yo sé que es parte de su trabajo, pero que su insistencia se menor."
21887,2,Muy buena atención de meseros.
21888,1,"En general, nuestros platillos estuvieron muy ricos, pero les faltó dorar un poco más los totopos, sólo un poquito más, es la primera vez que nos tocan así, gracias."
21889,1,Excelente servicio de Paola Álvarez.
21890,5,Todo bien
21891,1,Excelente servicio de Paola Álvarez
21892,1,"Muy buena, pero me gustaría que haya más variedad de cremas porque yo soy alérgico a la lactosa y no puedo comer la crema que sirven."
21893,4,"Todo excelente, me llevo una experiencia buena."
21894,2,Controlen el tema de los meseros de estar corriendo por todos lados.
21895,4,Deberían tener opciones de crema vegana.
21896,2,Mejorar las tostadas de pata en cuanto a sabor y frescura.
21897,4,"Nos piden opinión, pero no ofrecen Wi-Fi."
21898,1,¡ Excelente servicio de la señorita Fany!
21899,5,"Muy buena atención, más bien excelente."
21900,1,Todo bien 👍
21901,5,Excelente servicio
21902,4,Continúen así …
21903,5,Estuvo genial.
21904,2,"Muy buen servicio, xd"
21905,4,nada
21906,1,"No me gustó mucho el sabor de las flautas de pollo porque sabían mucho a manteca y, a pesar de que pedimos nuestras bebidas al tiempo, nos las trajeron frías."
21907,2,Cuando abren sucursales en MTY.
21908,4,Que haya pozole sin picante para los niños.
21909,1,.
21910,4,Todo excelente!!!
21911,4,"Todo perfecto, gracias."
21912,2,Gracias.
21913,5,Excelente
21914,5,Todo muy bonito.
21915,2,Me gusta la comida; es muy buena.
21916,4,Todo muy rico.
21917,5,Excelente servicio
21918,5,"Soy de Monterrey y, la neta, para ser mi primera parada de restaurante, me quedé con muy buena experiencia: buen precio, buena calidad y la rapidez es excelente. Buen servicio de la señorita Alma."
21919,5,Muy bien atendido por Diana.
21920,1,"Es la primera ocasión que no me atendieron de forma excelente, ya que se les olvidó llevarme salsa."
21921,5,"La mesera Alma es muy atenta, nos ayudó en todo y fue muy amable. Definitivamente volvería a venir a esta sucursal. Tiene un excelente ambiente. ¡Felicidades! 🙏🏻"
21922,2,Buen sabor y servicio.
21923,1,"La música es muy alta, terminas con dolor de cabeza. El ruido del comensal se encierra en el restaurante y después la música tan alta es lo único que hace que uno no disfrute la hora de la comida. Mi recomendación es que la música sea bajita; es un espacio para comer y platicar, no es un bar, es un restaurante familiar."
21924,1,"Felicidades, como diría Cepishin."
21925,5,"Muy buen servicio, calidad, rapidez y calidez."
21926,1,.
21927,4,Muy bien
21928,1,Antes era más la porción de carne en el pozole.
21929,4,"Todo muy bien, como siempre."
21930,5,"La comida siempre es muy muy rica, amo el guacamole. Gracias, Toño, por existir."
21931,5,"Excelente servicio, solo les hace falta una salsa sin chile."
21932,4,"Todo súper bien, solo que al momento de recibir el cambio de nuestra cuenta nos dieron muchas monedas. :("
21933,4,Me gustaría que pusieran crema con las tostadas de cortesía.
21934,5,"Excelente sazón y servicio, como siempre."
21935,5,"Comida excelente, servicio muy amable. Petición para esta sucursal: que los meseros no corran, además de poder ocasionar un accidente, el piso se cimbra y es muy desagradable. Por lo menos 20 veces corrieron."
21936,5,Muy caro el refresco.
21937,1,Sigan siendo así.
21938,5,"Muy buena la comida, sigan así. 👏🏻"
21939,5,El pozole está riquísimo.
21940,4,Muy buen servicio.
21941,4,Todo excelente 🎈
21942,1,"Todo bien, ¡gracias!"
21943,4,Todo es perfecto.
21944,1,Demoraron mucho en los alimentos y los trajeron equivocados.
21945,5,Excelente comida
21946,5,Excelente
21947,4,El costo ya es elevado.
21948,2,Que sigan con un buen servicio y con la calidad de trato.
21949,2,Todo muy bien.
21950,1,Excelente servicio
21951,2,"Al plato de pozole le hacían falta granos; acepto que venía muy bien servido en cuanto a la surtida, pero le hizo falta maíz."
21952,5,Igual de delicioso que hace 7 años que vinimos a México por primera vez. ¡Saludos desde Colombia!
21953,1,Mejorar la calidad de los ingredientes.
21954,5,Excelente comida me dio a una con calidad y servicio.
21955,2,Bien
21956,1,Todo bien
21957,1,Excelente servicio y buen sazón.
21958,5,No
21959,1,Dice mi esposo que le gustó la mesera.
21960,5,Todo bien
21961,4,"En mi sopa había un pelo… y el vaso con hielos que pedí, estaba mal lavado, tenía restos como de escarchado de chile en polvo."
21962,1,La calidad en los alimentos ha disminuido.
21963,5,Excelente servicio y atención.
21964,1,"Disminuyeron mucho el tamaño de las bebidas, agua y naranjada."
21965,4,"Todo excelente, gracias."
21966,1,Ninguna gracias
21967,1,Mariana y José Miguel
21968,5,Que no cambie ni el servicio ni la calidad de su personal.
21969,5,El pozole muy bueno. Atención muy buena. Solo la separación entre mesas y sillas.
21970,4,N/A
21971,1,Sus precios ya no son tan competitivos con los de otros lugares similares. Recomiendo bajarlos.
21972,5,"Daniel Quirino, una excelente persona, al igual que el servicio que nos brindó. Gracias."
21973,5,"La calidad es excelente, solo que no pensé que las quesadillas estuvieran fritas. Si lo hubiera sabido, no las habría pedido."
21974,2,"Las flautas quemadas, muy doradas, sin sabor; el relleno, y para acabarla, no le ponen la suficiente crema y queso."
21975,4,Gracias.
21976,2,Sólo que los meseros estén más atentos a las mesas.
21977,5,"Pasan demasiadas veces a preguntar si todo está bien y en algún punto molesta, no dejan comer a gusto."
21978,5,He recomendado este lugar desde hace más de 10 años y no vivo en la ciudad. ¡Excelente! No modifiquen nada.
21979,1,Excelente servicio
21980,5,Servicio muy eficiente. Gracias.
21981,1,Excelente servicio de Mariana y José Miguel. :)
21982,5,Excelente servicio.
21983,1,Que le bajen a la música.
21984,5,El agua me encantaría que fuera más grande.
21985,2,Yy
21986,2,Muy buen servicio
21987,1,Abrir sucursales en el municipio de Huehuetoca.
21988,1,"En donde uno seleccionó, ofreció calidad y servicio. Habiliten las 3 opciones, por fa."
21989,1,Me atendió José Miguel (muy bien).
21990,2,Gracias
21991,5,Excelente servicio de Vania.
21992,1,Ninguno
21993,1,Todo bien
21994,2,Excelente servicio y agradable atención.
21995,1,Llevo 3 años consumiendo en casa de Toño.
21996,2,Que preparen enchiladas de mole con pechuga y quesadillas de huitlacoche :)
21997,1,"Todo muy bien. La Srita. Mariana es muy amable, siempre al pendiente de nuestra mesa."
21998,5,Todo muy bien. Gracias.
21999,4,Muy bonito.
22000,1,Excelente servicio
22001,1,Sigan así
22002,1,"La comida es muy rica, solo las salsas son muy ácidas."
22003,5,Todo está ideal.
22004,5,Volveré por más.
22005,4,Solo sería mejor que no retiren los platos muy rápido. :)
22006,2,Rico
22007,5,Utilizar menos huevo para la elaboración de la masa de las quesadillas.
22008,5,"El sabor ya no es delicioso, la carta es mucho más pequeña y los precios han aumentado sin dar valor a todo lo anterior."
22009,5,Muy bien servicio por parte de Carlos H.
22010,2,Excelente
22011,1,Muy amable y gran servicio.
22012,2,Le pedí poca lechuga y lo trajeron con mucha.
22013,5,Excelente servicio.
22014,5,Todo fue muy bueno en el tema del servicio y limpieza.
22015,4,La calidad en los alimentos y el servicio son excelentes.
22016,2,Excelente servicio.
22017,2,Ninguno
22018,5,"Por favor, proporcióname el texto que deseas que revise y corrija."
22019,1,Excelente servicio.
22020,5,Todo muy rico.
22021,1,"Es la segunda vez que me toca un señor no muy amable y con la necedad de poner el servilletero en medio de la mesa, argumentando que lo deje ahí, sino me van a estar molestando. No siempre es grato tener el servilletero en ese lugar. Entiendo que sea su trabajo, pero deberían tener un plan B para nosotros, que nos es molesto tener en medio de la mesa cosas. Gracias."
22022,2,Todo está súper bien. 🤙🤙
22023,5,Las tostadas un poco duras.
22024,5,"Que no estén muy duras las tostadas, por favor.😬"
22025,4,Buen servicio
22026,1,Todo muy bien.
22027,5,Excelente servicio
22028,5,Me encantan los alimentos y el servicio.
22029,2,"El servicio es excelente, pero buscar la mejora de precios así más gente podrá ir a disfrutar sus platillos."
22030,1,Muchas gracias.
22031,1,Jose
22032,1,Tienen ricos platillos y los meseros son 100 % serviciales.
22033,2,Muy buen sabor
22034,5,Excelente atención
22035,2,Excelente servicio. La atención es muy buena. Siempre con muy buena disposición.
22036,2,Excelente servicio y atención.
22037,4,"Todo mutuo bien, solo el aire un poco frío."
22038,1,Gracias por la atención.
22039,4,Todo excelente y el servicio me pareció increíble.
22040,5,Deberían vender té.
22041,1,"Excelente servicio por parte de los chicos y el capitán en turno del día 1 de abril a las 19:18, muchas gracias."
22042,1,Perfecto
22043,2,Todo muy bien.
22044,2,Bien
22045,4,Todo bien.
22046,1,"Fue muy buena la calidad del servicio, solo hay que seguir así."
22047,5,"Han mejorado el servicio con los clientes, que somos una persona. Se acercan más con nosotros para ver que no falte algún alimento. Bueno, por eso..."
22048,4,"Que les suban el sueldo a todos. Me encanta la atención, que me pregunten si falta algo o si mi orden está completa, pero están en el límite de hacerme sentir acosado."
22049,2,Excelente servicio y comida deliciosa.
22050,1,"Moría por chilaquiles y los tuve enseguida, de verdad son salvadores."
22051,1,La capitana Mariana fue muy atenta y cordial.
22052,1,Ojalá pongan suscitarlos en Monterrey.
22053,1,Muy rica la comida.
22054,1,"Muy buen servicio, la capitana Mariana, muy atenta y servicial."
22055,2,Muy buen servicio y ricos platillos. 😁
22056,5,Todo bien
22057,4,Muy buen servicio y alimentos de calidad.
22058,4,No corran tanto.
22059,2,Que los molletes no sean tan pequeños.
22060,5,"Rico, deli"
22061,1,Muy 😋
22062,1,Excelente servicio
22063,1,Me quedé impresionado; excelente servicio y muy buen sazón.
22064,1,Excelente servicio de capitán y mesero.
22065,1,Excelente servicio del capitán y los meseros.
22066,1,Gran servicio y la atención de la Sra. Oyuki fue de primera para nuestro servicio.
22067,4,Ninguno
22068,4,Me encanta el servicio.
22069,1,Todo bien.
22070,1,Excelente servicio.!!!
22071,5,"Excelente servicio del personal, calidad y buen precio. ¡Un lugar para probar la cultura mexicana!"
22072,2,"Excelente servicio, sabor y calidad de los alimentos."
22073,1,Sin comentarios
22074,1,Me atendieron personas muy amables.
22075,1,El trato por los chicos es muy bueno.
22076,5,Gracias por sonreír.
22077,1,Que todo el personal porte otro color de uniforme (claro).
22078,4,Muy buen servicio.
22079,4,Amo casa Toño.
22080,1,"Excelente servicio de la capitana Anabel, muy rica la comida 😋"
22081,5,Es la primera vez que visito esta sucursal y todo muy bien. Ninguna observación específica.
22082,1,"Le pedí al mesero una limonada mineral con Splenda y que no tuviera Splenda... y después, al final, pedí un café y me trajo Splendas."
22083,4,Yes
22084,5,"Mesa 43, todo excelente."
22085,2,Tienen un excelente servicio; el personal es muy amable.
22086,1,La capitana muy atenta Adriana.
22087,2,Excelentes
22088,5,Todo muy rico.
22089,5,Siempre buena atención.
22090,5,Solicité mis chilaquiles con huevos estrellados y mencioné que la yema estuviera súper cocida y me los trajeron tiernos.
22091,1,"Otra vez las tostadas estaban muy duras. Cada vez que hago esta encuesta he solicitado que sean menos gruesas y duras. Un pequeño tiempo estuvieron muy bien, pero de nuevo, venimos muchas personas de la tercera edad y personas con algún detalle dental como brackets. Y debido a eso no consumo crema de vaca porque no me puedo comer sus tostadas. Gracias."
22092,4,Muy bien
22093,5,Que alguien apunte la orden.
22094,5,"El jugo de naranja suele tener un dejo a naranja podrida, además de que tiene agua."
22095,2,Queremos una casa Toño en Toluca.
22096,1,"Todo muy bien, solo quizás bajar un poco los precios."
22097,4,Excelente servicio
22098,1,"Los alimentos se sirvieron fríos, los meseros deberían traer cubrebocas, los cubiertos vienen protegidos con servilletas, todo esto es bastante antihigiénico."
22099,5,excelente servicio
22100,5,"Ninguno, todo excelente. Gracias."
22101,5,"Nos ofrecen pan y tortilla en los paquetes, pero ninguno de los dos nos llegó y tuvimos que pedirlo varias veces."
22102,5,Los quiero mucho :)
22103,5,Amamos
22104,5,Buenísimo todo.
22105,5,Muy tardado y fríos los alimentos.
22106,2,"El jugo de naranja está horrible, no es natural, está refrigerado."
22107,4,Siempre muy bien. Gracias.
22108,4,Sabores delis
22109,4,Regresen los horóscopos.
22110,4,Pedí un ajuste en mi platillo y me trajeron lo que quisieron. El capitán argumentó que no manejan ese ajuste y tuvo mala actitud de servicio.
22111,4,Excelente servicio y comida deliciosa. Gracias.
22112,1,El jugo de naranja no está bueno. 😔
22113,5,"Muy buen servicio, atención rápida."
22114,1,"Los alimentos bien, las bebidas no tanto, sobre todo el jugo."
22115,1,"Si tengo varios comentarios, pero sobre todo la atención del personal y de la capitana, la Sarita Anabel."
22116,5,Mejorar el sabor.
22117,2,Todo ok
22118,5,"La otra vez había venido a la sucursal Madero y un capitán se le insinuó a mi pareja, y se hizo incómodo. Creo que su nombre era Daniel."
22119,4,El servicio es excelente.
22120,1,Super
22121,1,El jugo de naranja siempre está muy amargo.
22122,4,Servicio rápido
22123,5,Todo excelente
22124,5,"Ninguno por el momento, todo excelente ✨"
22125,5,Todo bien
22126,5,Muy lindo servicio.
22127,5,Excelente servicio y súper rápido.
22128,2,"Todo excelente, una felicitación en particular al caballero Víctor que nos ha atendido de maravilla a mí y a mi familia cada que venimos a visitarlos."
22129,5,"Bebidas con sabor artificial, el chocolate con poco azúcar."
22130,2,No
22131,4,Excelente servicio
22132,5,"La comida muy rica, a buen precio y muy agradable servicio."
22133,5,Muy buen servicio y muy rico todo.
22134,5,"Muy buen servicio, gracias."
22135,2,"Gracias por la calidad del servicio que ofrecen. Hoy nos atendió el joven Alexis en la sucursal Perinorte, muy atento y amable con nosotros."
22136,1,Los mejores desayunos
22137,1,"La capitana Mariana, muy servicial y atenta."
22138,1,"Todo excelente, me encanta siempre venir."
22139,5,El chocolate bebible sabe muy mal :(
22140,5,"Everything was excellent, thank you so much."
22141,5,Best food!
22142,5,"Excelente servicio, atención, precios y sabor. 😊"
22143,5,"Todo perfecto, sabor, rapidez, costo, limpieza y servicio. ¡Muchas gracias!"
22144,1,Excelente atención
22145,5,"Todo muy rico, saludos desde Cd. Juárez, Chih."
22146,5,Excelente como siempre.
22147,4,Un lugar excelente para comer.
22148,4,"El servicio, como siempre, impecable; solamente la comida. Hay veces en las que está buena, como debería ser en casa de Toni, y otras veces como que le falta algo."
22149,5,Un poquito de privacidad... un poco desagradable vernos todos a la cara... no podemos chuparnos los dedos.
22150,5,"Te amo, casa de Toño."
22151,5,Gracias.
22152,5,Ninguno
22153,4,En mi comida venía un pelo y a los 5 minutos vi que los comensales de la mesa de mi lado también se quejaron de que venía un pelo en su comida. Qué asco. Tengan más cuidado.
22154,1,Buen servicio
22155,4,¿Habrá champurrado algún día?
22156,5,Todo muy bien.
22157,1,Excelente servicio.
22158,4,Que los platillos lleguen calientes.
